Episode_reward,episode
-273.46557881457784,295
-2.264203632734038,296
-0.6221158578198953,297
-137.1714059471168,298
-1038.359679554627,299
-280.317031815156,300
-129.9130353809026,301
-267.43475692245573,302
-128.16816624847405,303
-268.63122872419564,304
-953.3902355984969,305
-132.58473367449048,306
-129.07391775354674,307
-131.9533027951362,308
-266.9613660961888,309
-398.11443703741685,310
-132.01569110778127,311
-261.4524409861757,312
-130.76038552754224,313
-130.27758073904332,314
-128.5328909226296,315
-515.7664435846518,316
-403.0755790744836,317
-4.071167816415755,318
-264.7810288102111,319
-632.712305318958,320
-683.431573567609,321
-0.7438418075070443,322
-0.05023690320918215,323
-133.84361705007694,324
-555.669044514544,325
-129.1050539970185,326
-131.37904854519508,327
-1065.102541327549,328
-125.21218687383916,329
-265.4961028415644,330
-128.93439860896171,331
-2.5463065259661364,332
-892.9061853235112,333
-274.52581268030235,334
-129.6623200558345,335
-380.276942423357,336
-128.6342763572376,337
-129.36817330895622,338
-820.4680424573669,339
-4.814480144356802,340
-130.03104481784547,341
-131.40972674386987,342
-132.43206472766053,343
-131.10292909304857,344
-142.12796213899267,345
-1.2449715430215178,346
-395.5971379532543,347
-137.1032230160052,348
-132.4153529771457,349
-249.24718643239476,350
-380.2983361998553,351
-383.9927883000427,352
-1013.1851779768176,353
-266.5015626216723,354
-131.78673607770514,355
-267.6061234074856,356
-405.85171049605947,357
-258.02594417693354,358
-520.8447508498335,359
-134.63334367572654,360
-419.236262001543,361
-385.42191131678817,362
-380.0541004465699,363
-130.73528766230783,364
-127.29132686260877,365
-1047.650556810366,366
-133.50850034218854,367
-129.19179313884274,368
-382.19760974673386,369
-459.99344258576065,370
-130.5772533835066,371
-258.6915090979332,372
-131.225993984309,373
-2.307935564530814,374
-381.0481201297432,375
-263.13129723956706,376
-128.38499437285228,377
-128.91816804394875,378
-402.16511915016144,379
-428.4494441029423,380
-274.4714786496533,381
-463.4623132944519,382
-127.29886848372509,383
-129.96043351859282,384
-128.64831889152399,385
-253.58344915212325,386
-132.8162915670369,387
-261.93506456711094,388
-262.39540227220493,389
-260.8092114201002,390
-129.43366071005198,391
-0.5340992273939197,392
-128.85111073510905,393
-128.25477694966304,394
-412.40810831862757,395
-266.9218270456268,396
-412.41758131506464,397
-128.94429376414604,398
-131.09949798355325,399
-291.15923883350524,400
-267.64527622386566,401
-489.44021739425966,402
-128.0549415277166,403
-2.4489440262340567,404
-403.8335832447348,405
-410.8634983022809,406
-127.15800890668305,407
-428.3714272534157,408
-137.91503165159457,409
-429.3623718012684,410
-267.128871121456,411
-445.32875635963103,412
-132.2639368673305,413
-0.8292453044283625,414
-132.19100503947476,415
-127.83917746509681,416
-130.37539777604732,417
-271.6062650630438,418
-264.4619258087007,419
-131.37611987894263,420
-131.59731181511395,421
-531.1541840593379,422
-262.17593588805056,423
-131.28799968041162,424
-131.08410689768246,425
-132.6621370964813,426
